epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,886.386,1.0678,0.70795,1.08201,0.8051,0.70823,0.78778,0.51506,1.24721,0.86766,1.21082,0.0008714,0.0008714,0.0008714
59,901.447,1.05373,0.70721,1.06909,0.7953,0.69584,0.77044,0.50527,1.25609,0.91354,1.21196,0.0008516,0.0008516,0.0008516
60,916.562,1.07147,0.7026,1.07833,0.76514,0.72447,0.77868,0.50423,1.25502,0.881,1.20268,0.0008318,0.0008318,0.0008318
61,931.686,1.04946,0.70346,1.07502,0.78895,0.69512,0.76938,0.50211,1.25378,0.9152,1.20382,0.000812,0.000812,0.000812
62,946.859,1.05091,0.69737,1.07213,0.7921,0.69656,0.77463,0.51488,1.25222,0.87362,1.21764,0.0007922,0.0007922,0.0007922
63,962.213,1.05336,0.69898,1.07207,0.79787,0.70875,0.77841,0.50915,1.25726,0.86739,1.21827,0.0007724,0.0007724,0.0007724
64,977.335,1.04712,0.6912,1.06436,0.82079,0.6693,0.7727,0.50562,1.2578,0.89454,1.20995,0.0007526,0.0007526,0.0007526
65,992.45,1.03664,0.69404,1.07079,0.79846,0.69913,0.78152,0.52032,1.22594,0.84598,1.19188,0.0007328,0.0007328,0.0007328
66,1007.56,1.03901,0.67572,1.06877,0.78449,0.71593,0.77225,0.50813,1.2328,0.86137,1.19369,0.000713,0.000713,0.000713
67,1022.69,1.03331,0.67549,1.06494,0.79692,0.71234,0.77744,0.5153,1.25771,0.88086,1.21745,0.0006932,0.0006932,0.0006932
68,1037.81,1.02918,0.68184,1.0615,0.79874,0.68867,0.77069,0.50871,1.25044,0.86354,1.20814,0.0006734,0.0006734,0.0006734
69,1052.94,1.02513,0.67854,1.05785,0.79619,0.69779,0.76826,0.50762,1.23944,0.88041,1.19813,0.0006536,0.0006536,0.0006536
70,1068,1.01484,0.67186,1.05825,0.82035,0.6901,0.7771,0.51634,1.2449,0.86474,1.20107,0.0006338,0.0006338,0.0006338
71,1083.25,1.02224,0.67435,1.05416,0.79905,0.70445,0.77099,0.51568,1.23878,0.85639,1.19382,0.000614,0.000614,0.000614
72,1098.44,1.00474,0.66453,1.05197,0.77528,0.70536,0.76503,0.50879,1.25734,0.86874,1.21442,0.0005942,0.0005942,0.0005942
73,1113.65,1.02281,0.66053,1.05539,0.81532,0.68407,0.76902,0.50783,1.26005,0.8686,1.21454,0.0005744,0.0005744,0.0005744
